picture_id,mid_year,cluster_id,cluster_rank
1673,1867,35,4
2005481016,1828,78,1
2005481016,1828,29,2
2005481016,1828,109,3
2005481016,1828,57,4
8035,1816,80,1
8035,1816,57,2
8035,1816,0,3
8035,1816,51,4
8034,1811,23,1
8034,1811,57,2
8034,1811,51,3
8034,1811,0,4
8037,1809,4,1
8037,1809,78,2
8037,1809,6,3
8037,1809,13,4
8036,1810,13,1
8036,1810,70,2
8036,1810,100,3
8036,1810,10,4
8031,1812,74,1
8031,1812,57,2
8031,1812,51,3
8031,1812,63,4
8030,1811,80,1
8030,1811,41,2
8030,1811,38,3
8030,1811,0,4
8033,1811,57,1
8033,1811,0,2
8033,1811,78,3
8033,1811,23,4
8032,1811,57,1
8032,1811,51,2
8032,1811,63,3
8032,1811,0,4
8039,1810,13,1
8039,1810,50,2
8039,1810,0,3
8039,1810,70,4
13980,1830,100,1
13980,1830,13,2
13980,1830,14,3
13980,1830,29,4
13981,1842,100,1
13981,1842,70,2
13981,1842,105,3
13981,1842,109,4
13982,1842,100,1
13982,1842,30,2
13982,1842,13,3
13982,1842,0,4
16000,1870,106,1
16000,1870,21,2
16000,1870,50,3
16000,1870,77,4
5869,1901,19,1
5869,1901,45,2
5869,1901,35,3
5869,1901,10,4
5868,1885,18,1
5868,1885,106,2
5868,1885,31,3
5868,1885,28,4
5865,1885,15,1
5865,1885,96,2
5865,1885,72,3
5865,1885,14,4
5864,1885,49,1
5864,1885,94,2
5864,1885,65,3
5864,1885,55,4
5867,1888,97,1
5867,1888,44,2
5867,1888,45,3
5867,1888,71,4
5866,1892,109,1
5866,1892,57,2
5866,1892,95,3
5866,1892,11,4
5861,1892,71,1
5861,1892,17,2
5861,1892,45,3
5861,1892,95,4
5860,1909,9,1
5860,1909,69,2
5860,1909,104,3
5860,1909,3,4
5863,1910,22,1
5863,1910,71,2
5863,1910,69,3
5863,1910,19,4
5862,1886,42,1
5862,1886,23,2
5862,1886,88,3
5862,1886,64,4
17359,1905,62,1
17359,1905,55,2
17359,1905,21,3
17359,1905,107,4
17355,1890,89,1
17355,1890,43,2
17355,1890,8,3
17355,1890,103,4
17354,1884,55,1
17354,1884,65,2
17354,1884,89,3
17354,1884,107,4
17357,1882,32,1
17357,1882,83,2
17357,1882,60,3
17357,1882,63,4
17356,1890,87,1
17356,1890,84,2
17356,1890,59,3
17356,1890,71,4
17351,1890,29,1
17351,1890,4,2
17351,1890,16,3
17351,1890,109,4
17350,1890,34,1
17350,1890,26,2
17350,1890,6,3
17350,1890,38,4
17353,1882,86,1
17353,1882,107,2
17353,1882,60,3
17353,1882,70,4
17352,1900,89,1
17352,1900,47,2
17352,1900,8,3
17352,1900,17,4
12988,1808,83,1
12988,1808,0,2
12988,1808,80,3
12988,1808,70,4
